frame,view,track_id,x,y,w,h
0,View_001,1,253.7,219.3,28.6,89.0
0,View_001,2,639.6,240.4,44.7,82.2
0,View_001,3,499.2,156.6,30.9,75.3
1,View_001,1,263.2,219.7,28.4,87.3
1,View_001,2,636.6,241.8,44.3,81.4
1,View_001,3,499.3,158.2,30.3,73.7
2,View_001,1,266.4,219.8,28.9,87.1
2,View_001,2,632.1,241.6,44.7,82.3
2,View_001,3,497.4,159.2,30.8,74.8
3,View_001,1,274.4,217.0,28.7,86.0
3,View_001,2,615.6,240.0,44.9,83.6
3,View_001,3,493.8,160.1,31.2,76.0
4,View_001,1,281.9,214.7,28.8,85.6
4,View_001,2,602.5,240.2,45.2,83.8
4,View_001,3,490.8,161.2,31.1,76.6
5,View_001,1,286.5,212.1,30.3,88.3
5,View_001,2,594.1,240.4,46.1,84.6
5,View_001,3,486.7,162.4,31.1,76.8
6,View_001,1,291.4,212.4,30.8,88.0
6,View_001,2,587.1,239.9,45.9,85.0
6,View_001,3,483.9,163.7,31.3,77.4
7,View_001,1,297.0,212.6,30.9,86.2
7,View_001,2,577.3,238.3,44.7,85.0
7,View_001,3,481.4,163.9,31.5,78.4
8,View_001,1,301.7,210.2,31.1,86.9
8,View_001,2,566.7,237.8,44.6,86.6
8,View_001,3,477.7,164.7,31.1,77.7
9,View_001,1,307.2,209.0,30.6,85.9
9,View_001,2,557.1,238.8,44.7,85.8
9,View_001,3,473.2,164.8,31.2,77.9
10,View_001,1,317.8,207.4,31.5,86.6
10,View_001,2,545.2,238.1,44.0,86.5
10,View_001,3,468.3,167.5,31.9,78.2
11,View_001,1,322.7,206.2,32.3,87.1
11,View_001,2,534.3,237.3,43.0,87.6
11,View_001,3,463.7,168.6,32.2,78.5
11,View_001,5,746.7,299.0,19.9,110.5
12,View_001,1,325.6,205.4,32.4,86.1
12,View_001,2,523.7,237.2,42.7,87.4
12,View_001,3,458.9,168.6,32.1,79.0
12,View_001,5,743.5,297.0,20.1,110.4
13,View_001,1,333.0,200.9,32.7,86.9
13,View_001,2,511.7,237.9,43.0,86.9
13,View_001,3,452.7,169.5,31.6,79.3
13,View_001,5,737.0,293.9,21.1,112.5
14,View_001,1,337.3,198.9,33.3,88.0
14,View_001,2,501.4,236.4,41.8,86.8
14,View_001,3,446.9,170.9,31.8,78.6
14,View_001,5,731.5,291.1,22.6,114.8
15,View_001,1,341.5,198.6,33.4,87.4
15,View_001,2,491.9,235.0,40.4,86.8
15,View_001,3,443.8,172.6,32.0,77.5
15,View_001,5,728.0,287.3,23.1,112.4
16,View_001,1,345.6,197.3,33.5,87.7
16,View_001,2,481.1,235.6,40.4,86.1
16,View_001,3,439.4,172.4,32.0,77.9
16,View_001,5,725.5,283.7,23.2,108.8
17,View_001,1,354.2,195.2,32.8,84.6
17,View_001,2,471.7,235.7,40.6,85.2
17,View_001,3,432.1,173.0,31.1,76.3
17,View_001,5,715.7,280.9,24.4,109.1
18,View_001,1,360.1,193.7,33.6,84.2
18,View_001,2,461.3,233.9,39.7,85.3
18,View_001,5,707.3,279.7,26.0,110.5
18,View_001,9,741.8,277.9,24.4,105.0
19,View_001,1,363.8,193.0,34.3,83.7
19,View_001,2,452.7,232.5,38.7,85.9
19,View_001,5,703.7,278.3,26.8,108.5
19,View_001,9,739.6,275.5,24.7,105.6
20,View_001,1,365.5,191.7,34.6,84.2
20,View_001,2,440.9,232.0,39.0,85.6
20,View_001,5,693.5,272.6,27.2,106.7
20,View_001,9,732.1,273.3,23.2,98.1
21,View_001,1,366.7,190.3,35.0,84.7
21,View_001,2,432.6,230.6,37.6,84.6
21,View_001,5,685.7,270.2,28.0,106.4
21,View_001,9,725.8,271.8,23.2,96.5
22,View_001,1,367.0,189.8,34.6,83.7
22,View_001,2,426.1,229.7,36.4,83.6
