frame,track_id_a,track_id_b,cost_px,status
0,1,1,55.3,matched
0,2,3,529.1,rejected_too_far
0,3,2,3.1,matched
1,1,1,39.0,matched
1,3,2,3.9,matched
1,2,,,unmatched_a_extra
2,1,1,28.9,matched
2,2,3,533.0,rejected_too_far
2,3,2,4.0,matched
3,1,1,45.3,matched
3,3,2,0.8,matched
3,2,,,unmatched_a_extra
4,1,1,43.9,matched
4,2,3,534.4,rejected_too_far
4,3,2,2.2,matched
5,1,1,26.1,matched
5,3,2,2.3,matched
5,2,,,unmatched_a_extra
6,1,1,25.2,matched
6,3,2,5.4,matched
6,2,,,unmatched_a_extra
7,1,1,27.8,matched
7,3,2,7.4,matched
7,2,,,unmatched_a_extra
8,1,1,26.9,matched
8,2,3,537.2,rejected_too_far
8,3,2,3.0,matched
9,1,1,18.5,matched
9,3,2,3.9,matched
9,2,,,unmatched_a_extra
10,1,1,24.3,matched
10,3,2,2.3,matched
10,2,,,unmatched_a_extra
11,1,1,34.8,matched
11,3,2,0.3,matched
11,2,,,unmatched_a_extra
11,5,,,unmatched_a_extra
12,1,1,36.3,matched
12,3,2,4.0,matched
12,2,,,unmatched_a_extra
12,5,,,unmatched_a_extra
13,1,1,21.0,matched
13,3,2,2.7,matched
13,2,,,unmatched_a_extra
13,5,,,unmatched_a_extra
14,1,1,25.0,matched
14,3,2,2.7,matched
14,2,,,unmatched_a_extra
14,5,,,unmatched_a_extra
15,1,1,30.3,matched
15,3,2,0.8,matched
15,2,,,unmatched_a_extra
15,5,,,unmatched_a_extra
16,1,1,38.6,matched
16,3,2,0.5,matched
16,2,,,unmatched_a_extra
16,5,,,unmatched_a_extra
17,1,1,19.9,matched
17,3,2,11.6,matched
17,2,,,unmatched_a_extra
17,5,,,unmatched_a_extra
18,1,1,17.6,matched
18,2,2,340.8,rejected_too_far
18,5,,,unmatched_a_extra
18,9,,,unmatched_a_extra
19,1,1,17.6,matched
19,2,2,342.8,rejected_too_far
19,5,,,unmatched_a_extra
19,9,,,unmatched_a_extra
20,1,1,17.3,matched
20,2,2,344.6,rejected_too_far
20,5,,,unmatched_a_extra
20,9,,,unmatched_a_extra
21,1,1,17.3,matched
21,2,2,337.3,rejected_too_far
21,5,5,126.1,matched
21,9,4,115.9,matched
22,1,1,13.6,matched
22,2,2,334.1,rejected_too_far
22,9,5,118.9,matched
22,5,,,unmatched_a_extra
23,1,2,91.7,matched
23,2,1,253.1,rejected_too_far
23,9,5,126.6,matched
23,5,,,unmatched_a_extra
24,1,1,17.9,matched
24,5,5,142.2,matched
24,9,2,472.1,rejected_too_far
25,1,1,17.7,matched
25,9,5,140.4,matched
25,15,2,47.3,matched
25,5,,,unmatched_a_extra
26,1,1,17.4,matched
26,5,5,168.9,rejected_too_far
26,9,2,469.0,rejected_too_far
27,1,2,78.8,matched
27,5,5,185.0,rejected_too_far
27,9,1,403.7,rejected_too_far
28,1,2,63.0,matched
28,5,5,190.8,rejected_too_far
28,9,1,397.3,rejected_too_far
29,1,2,53.7,matched
29,9,1,391.5,rejected_too_far
29,18,5,5.6,matched
29,5,,,unmatched_a_extra
30,1,2,47.3,matched
30,5,5,212.8,rejected_too_far
30,9,1,388.2,rejected_too_far
31,1,2,43.6,matched
31,9,1,387.4,rejected_too_far
31,18,5,11.6,matched
31,5,,,unmatched_a_extra
32,1,2,41.3,matched
32,5,5,238.1,rejected_too_far
32,9,1,383.8,rejected_too_far
33,1,2,35.8,matched
33,5,5,244.0,rejected_too_far
33,9,1,375.6,rejected_too_far
34,1,5,165.5,rejected_too_far
34,19,2,13.8,matched
34,15,1,10.0,matched
34,5,,,unmatched_a_extra
34,9,,,unmatched_a_extra
35,9,5,238.0,rejected_too_far
35,19,2,12.8,matched
35,15,1,11.2,matched
35,5,,,unmatched_a_extra
36,9,5,249.8,rejected_too_far
36,19,2,14.4,matched
36,15,1,8.8,matched
36,5,,,unmatched_a_extra
37,19,2,14.3,matched
37,15,1,6.4,matched
37,1,5,103.5,matched
37,5,,,unmatched_a_extra
37,9,,,unmatched_a_extra
38,19,2,15.8,matched
38,15,1,6.6,matched
38,1,5,82.3,matched
38,5,,,unmatched_a_extra
38,9,,,unmatched_a_extra
39,9,5,262.5,rejected_too_far
39,19,2,16.7,matched
39,1,1,8.3,matched
39,5,,,unmatched_a_extra
40,9,1,330.3,rejected_too_far
40,19,2,15.7,matched
40,20,5,9.5,matched
40,5,,,unmatched_a_extra
41,19,2,18.2,matched
41,20,5,7.6,matched
41,1,1,14.3,matched
41,5,,,unmatched_a_extra
41,9,,,unmatched_a_extra
41,22,,,unmatched_a_extra
42,19,2,18.7,matched
42,20,5,2.8,matched
42,1,1,16.9,matched
42,5,,,unmatched_a_extra
42,9,,,unmatched_a_extra
42,22,,,unmatched_a_extra
43,19,2,18.3,matched
43,20,1,32.8,matched
43,5,,,unmatched_a_extra
43,9,,,unmatched_a_extra
43,22,,,unmatched_a_extra
43,1,,,unmatched_a_extra
44,19,2,10.4,matched
44,20,1,25.3,matched
44,5,,,unmatched_a_extra
44,9,,,unmatched_a_extra
44,22,,,unmatched_a_extra
45,19,2,14.2,matched
45,20,1,19.2,matched
45,5,,,unmatched_a_extra
45,9,,,unmatched_a_extra
45,22,,,unmatched_a_extra
46,19,2,18.0,matched
46,20,5,12.1,matched
46,1,1,17.7,matched
46,5,,,unmatched_a_extra
46,9,,,unmatched_a_extra
46,22,,,unmatched_a_extra
47,19,2,18.0,matched
47,20,5,13.7,matched
47,1,1,7.7,matched
47,5,,,unmatched_a_extra
47,9,,,unmatched_a_extra
47,22,,,unmatched_a_extra
48,5,4,48.2,matched
48,19,2,22.0,matched
48,20,5,14.6,matched
48,1,1,5.8,matched
48,9,,,unmatched_a_extra
48,22,,,unmatched_a_extra
49,5,4,47.3,matched
49,19,2,24.2,matched
49,20,5,4.9,matched
49,1,1,5.1,matched
49,9,,,unmatched_a_extra
49,22,,,unmatched_a_extra
50,5,4,58.6,matched
50,19,2,23.3,matched
50,20,1,69.6,matched
50,9,,,unmatched_a_extra
50,22,,,unmatched_a_extra
51,5,4,68.0,matched
51,19,2,22.1,matched
51,20,1,84.3,matched
51,9,,,unmatched_a_extra
51,22,,,unmatched_a_extra
52,5,2,308.7,rejected_too_far
52,9,1,233.2,rejected_too_far
52,19,5,48.6,matched
52,22,4,114.5,matched
53,5,1,237.0,rejected_too_far
53,9,2,298.7,rejected_too_far
53,19,5,50.8,matched
53,22,4,120.0,matched
54,5,1,233.3,rejected_too_far
54,9,2,299.3,rejected_too_far
54,19,5,57.2,matched
54,22,4,127.0,matched
55,5,1,220.8,rejected_too_far
55,9,2,289.9,rejected_too_far
55,19,5,61.3,matched
55,22,4,134.7,matched
56,5,1,213.5,rejected_too_far
56,9,2,277.7,rejected_too_far
56,19,5,75.0,matched
56,22,4,137.2,matched
57,5,1,209.7,rejected_too_far
57,9,2,266.3,rejected_too_far
57,19,5,93.9,matched
57,22,4,139.5,matched
58,5,1,204.6,rejected_too_far
58,9,2,262.4,rejected_too_far
58,19,5,107.3,matched
58,22,4,143.5,matched
59,5,4,28.6,matched
59,9,1,186.8,rejected_too_far
59,19,5,119.6,matched
59,28,2,57.8,matched
59,22,,,unmatched_a_extra
60,5,4,34.2,matched
60,9,1,175.8,rejected_too_far
60,19,5,136.7,matched
60,28,2,60.8,matched
60,22,,,unmatched_a_extra
61,5,4,28.1,matched
61,19,2,11.3,matched
61,28,1,9.5,matched
61,29,5,61.4,matched
61,9,,,unmatched_a_extra
61,22,,,unmatched_a_extra
62,5,4,19.9,matched
62,19,2,10.8,matched
62,28,1,8.6,matched
62,29,5,65.6,matched
62,9,,,unmatched_a_extra
62,22,,,unmatched_a_extra
63,5,4,18.4,matched
63,19,2,17.3,matched
63,28,1,8.1,matched
63,29,5,61.1,matched
63,9,,,unmatched_a_extra
63,22,,,unmatched_a_extra
64,5,4,18.7,matched
64,19,2,19.8,matched
64,28,1,8.3,matched
64,29,5,80.4,matched
64,9,,,unmatched_a_extra
64,22,,,unmatched_a_extra
65,5,4,19.4,matched
65,19,2,21.2,matched
65,28,1,8.0,matched
65,29,5,84.2,matched
65,9,,,unmatched_a_extra
