frame,track_id,projected_x,projected_y,pixel_distance
0,1,557.3,505.9,34.8
20,1,429.0,369.0,32.9
40,5,861.4,325.7,495.7
60,5,612.7,335.2,235.9
80,5,369.4,315.4,64.0
100,5,246.6,277.4,170.0
120,5,206.2,248.3,447.7
140,5,180.6,229.1,23.3
160,5,168.0,217.5,26.8
180,22,265.8,246.6,21.5
200,22,252.6,279.8,21.1
220,37,-4720.0,1125.7,4946.7
240,9,245.6,225.2,12.5
260,9,278.0,234.4,14.8
280,9,334.2,244.2,272.0
300,9,427.6,258.6,14.8
320,9,565.6,272.3,366.2
340,9,729.8,281.6,232.1
360,9,884.0,285.8,280.7
380,22,771.1,288.8,439.3
400,81,351.4,449.1,26.6
420,81,448.8,438.7,27.7
440,81,460.5,437.9,50.6
460,81,573.7,402.0,13.1
480,92,1149.4,348.8,622.6
500,81,1183.9,364.5,910.5
520,81,1402.3,347.3,708.4
540,89,-520.4,520.2,977.8
560,89,-1241.5,715.5,1470.9
580,97,473.2,274.4,26.7
600,88,1260.8,353.6,578.1
620,88,1210.9,353.6,813.5
640,88,896.0,354.1,735.7
660,88,564.1,332.5,63.6
680,88,348.2,293.3,9.2
700,88,344.9,279.6,17.9
720,88,480.9,307.7,66.2
740,115,100.1,750.0,365.3
760,115,126.4,476.6,20.0
780,123,333.9,235.2,250.4
